OBJECTID,DescSeg,TipoPNV,CODIGO
1,ENTR BR-365 - ENTR BR-050 (CONTORNO OESTE DE UBERLÂNDIA),Planejada,050BMG9150
2,ENTR BR-153(A) (DIV GO/MG) - ENTR BR-153(B) (ARAPORÃ),Em obras de duplicação,452BMG0110
3,ENTR BR-122(B)/BA-245 (P/BONINAL) - ENTR BR-242(B),Pavimentada,349BBA0380
4,BARRA DO MENDES - ENTR. BR-242,Leito Natural,148EBA0000
5,FIM DO PERÍMETRO URB CERES - ENTR GO-154(B)/434(A),Leito Natural,251BGO0870
6,ENTR GO-154(A) (CERES) - FIM DO PERÍMETRO URB CERES,Pavimentada,251BGO0865
7,ENTR BR-153/GO-480(B) (RIALMA) - ENTR GO-154(A) (CERES),Pavimentada,251BGO0860
8,"KM 800,4 - INÍCIO DA PAVIMENTAÇÃO",Em obras de pavimentação,251BMG0410
9,INÍCIO DA PAVIMENTAÇÃO - ENTR MG-188(A) (CANGALHA),Pavimentada,251BMG0420
10,"ENTR MG-181 (BOQUEIRÃO) - KM 800,4",Leito Natural,251BMG0390
11,RIBEIRAO MAMONEIRA - ENTR. BR-251,Implantada,662LMG0060
12,ENTR. LMG-664 (P/BONFINOPOLIS DE MINAS) - NATALANDIA,Implantada,662LMG0020
13,NATALANDIA - RIBEIRAO MAMONEIRA,Implantada,662LMG0040
14,BRASILANDIA - ENTR. MG-408,Pavimentada,181EMG0380
15,ENTR. BR-251 (BOQUEIRAO) - ENTR. P/GADO BRAVO),Implantada,181EMG0340
16,ENTR BR-452(B) (ARAPORÃ) - ENTR MG-226 (P/CANÁPOLIS),Em obras de duplicação,153BMG0800
17,ENTR BR-452(A) (DIV GO/MG) - ENTR BR-452(B) (ARAPORÃ),Em obras de duplicação,153BMG0790
18,ENTR BR-497 - ENTR BR-365 (CONTORNO OESTE DE UBERLÂNDIA),Planejada,050BMG9100
19,ENTR RJ-071/081 (LINHA VERMELHA) - ENTR BR-040(B)/101(A) (TREVO DAS MISSÕES),Duplicada,116BRJ1760
20,ENTR MG-111 (IPANEMA) - FIM DO TRECHO PAVIMENTADO,Pavimentada,474BMG0035
21,FIM DO TRECHO PAVIMENTADO - ACESSO SANTO ANTÔNIO DO MANHUAÇU,Em obras de pavimentação,474BMG0040
22,CONCEIÇÃO DO CAPIM - EXPEDICIONÁRIO ALÍCIO,Pavimentada,474BMG0012
23,ENTR BR-393(A) - DIV MG/RJ (ALÉM PARAÍBA),Pavimentada,116BMG1465
24,BONFINÓPOLIS DE MINAS - RIBEIRÃO CANASTRA,Implantada,181EMG0300
25,ENTR. BA-526 (AC. A ARATU) - ENTR. BR-324,Pavimentada,528EBA0005
26,ENTR MG-405 (JACINTO) - ENTR MG-406 (ALMENARA),Pavimentada,367BMG0080
27,ENTR ES-391 (CONCEIÇÃO DO MUQUI) - ENTR ES-494,Leito Natural,393BES0060
28,ENTR BR-484(A)/ES-185 (GUAÇUÍ) - ENTR BR-484(B),Pavimentada,482BES0120
29,ENTR BR-343(B) - PEDRO II,Pavimentada,407BPI0015
30,PEDRO II - ENTR BR-404(B),Pavimentada,407BPI0020
31,ENTR PE-058 - ENTR PE-071 (P/CHÃ GRANDE),Duplicada,232BPE0070
32,DIV BA/MG (SALTO DA DIVISA) - ENTR MG-405 (JACINTO),Implantada,367BMG0070
33,ENTR BR-404(B) - MILTON BRANDÃO,Implantada,407BPI0025
34,CASTELO DO PIAUÍ - ENTR BR-226(B)/PI-322,Pavimentada,407BPI0053
35,,,BA23335
36,ENTR BA-463 (P/SÃO DESIDÉRIO) - RODA VELHA,Pavimentada,020BBA0235
37,,,BA22537
38,ACESSO A LAGEADO - ENTR BR-330,Planejada,020BBA0340
39,ENTR BA-026(A)/262(A) (BRUMADO) - ENTR BA-262(B) (BRUMADO ) (FIM TRAV URBANA),Pavimentada,030BBA0350
40,,,BA64040
41,IGUAÍ - ENTR. BA-645 (NOVA CANAÃ),Pavimentada,262EBA0027
42,ENTR. BA-263 - SANTA CRUZ DA VITORIA,Pavimentada,667EBA0001
43,ENTR. BR-415 - ENTR. BA-120 (ITAPE),Pavimentada,971EBA0001
44,ENTR BR-262 - ENTR BR-415,,BA64544
45,FIM PAVIMENTAÇÃO - SEBASTIÃO LEAL,Em obras de pavimentação,324BPI0076
46,ENTR RJ-158 (CAMPOS) - ENTR BR-356(B) (TREVO SUL DE CAMPOS),Pavimentada,101BRJ2750
47,ENTR BR-356(A)/RJ-194 - ENTR RJ-158 (CAMPOS),Pavimentada,101BRJ2732
48,VALE DAS VIDEIRAS - DIVISA PETROPOLIS/PATY DO ALFERES,Leito Natural,117ERJ0020
49,FIM DO PAVIMENTO (FAMA-CD) - MARAVILHA (CD),Implantada,117ERJ0060
50,ENTR. RJ-121 (GOVERNADOR PORTELA) - ENTR. RJ-115 (MIGUEL PEREIRA-CD),Pavimentada,125ERJ0190
51,ENTR. RJ-115 (MIGUEL PEREIRA-CD) - DIVISA MIGUEL PEREIRA/PATY DO ALFERES,Pavimentada,125ERJ0210
52,FIM DO PAVIMENTO - DIVISA MIGUEL PEREIRA/VASSOURAS,Leito Natural,115ERJ0120
53,ENTR. RJ-125 (MIGUEL PEREIRA-CD) - FIM DO PAVIMENTO,Pavimentada,115ERJ0110
54,INICIO DO PAVIMENTO - ENTR.RJ-125 (PATY DO ALFERES-CD),Pavimentada,117ERJ0090
55,DIVISA MIGUEL PEREIRA/PATY DO ALFERES - ENTR. RJ-117 (PATY DO ALFERES),Pavimentada,125ERJ0230
56,QUINDINS (CD) - INICIO DO PAVIMENTO,Implantada,117ERJ0080
57,ENTR. RJ-123/BR-492 (AVELAR) - ENTR. RJ-131,Leito Natural,125ERJ0270
58,DIVISA PETROPOLIS/PATY DO ALFERES - COQUEIROS (CD),Leito Natural,117ERJ0030
59,COQUEIROS (CD) - INICIO DO PAVIMENTO (SERRA DO FAMA),Implantada,117ERJ0040
60,INICIO DO PAVIMENTO (SERRA DO FAMA) - FIM DO PAVIMENTO (FAMA-CD),Pavimentada,117ERJ0050
61,ACESSO  PARAIBA DO SUL,,AC61
62,BALDIM - ENTR MG-010 (ALMEIDA),Pavimentada,323EMG0240
63,CARDEAL MOTA (DIVISA 8/1CRG) - ALTO DO PALACIO,Implantada,010EMG0280
64,ENTR. P/ SAO JOSE DO JACURI - BAGUARI,Leito Natural,117EMG0260
65,ITAMARANDIBA - ITAMARANDIBA,Pavimentada,214EMG0225
66,ITAMARANDIBA - SAO DOMINGOS,Implantada,214EMG0240
67,ENTR. MGT-120 - ENTR. P/SÃO JOSÉ DO JACURI (A),Pavimentada,736LMG0020
68,ENTR BR-116(B) - ENTR MG-314 (CONCEIÇÃO DE TRONQUEIROS),Pavimentada,259BMG0190
69,ENTR P/ VIRGOLANDIA - COROACI,Leito Natural,314EMG0300
70,MARILAC - NACIP RAYDAN,Leito Natural,744LMG0040
71,MARILAC - ENTR BR-116(A),Pavimentada,451BMG0080
72,CONCEICAO DE TRONQUEIRAS - ENTR MGT-259 (P/GOVERNADOR VALADARES),Leito Natural,314EMG0360
73,COROACI - POVODO DOS PROCOPIOS,Leito Natural,314EMG0320
74,POVOADO DOS PROCOPIOS - CONCEICAO DE TRONQUEIRAS,Leito Natural,314EMG0340
75,CORREGO DA ESTIVA - ENTR P/ VIRGOLANDIA,Leito Natural,314EMG0280
76,ENTR. BR-101 (A) - ENTR. BR-060 (ANCHIETA),Em obras de pavimentação,146EES0070
77,ENTR. ES-375 (PIUMA) - ITAIPAVA,Pavimentada,060EES0190
78,ENTR BR-369(B) (CAMPO BELO) - ENTR BR-381 (PERDÕES),Pavimentada,354BMG0390
79,TRECHO URBANO BARRA MANSA P/VOLTA REDONDA,,Lig79
80,ENTR BR-485 (ITATIAIA) - ENTR BR-354 (ENGENHEIRO PASSOS),Duplicada,116BRJ2190
81,ACESSO A CORRENTINA - ENTR BR-349 (CORRENTINA),Em obras de pavimentação,135BBA0600
82,ENTR. RJ-163 (VISCONDE DE MAUA) - MAROMBA (CD),Implantada,151ERJ0230
83,ENTR RJ-157 - ENTR RJ-159 (FLORIANO),Duplicada,116BRJ2110
84,ENTR MG-158 (P/ITANHANDÚ) - ITAMONTE,Pavimentada,354BMG0570
85,ENTR. P/ PASSA-QUATRO - ENTR. P/ VIRGINIA,Pavimentada,350EMG0260
86,ITAMONTE - ENTR BR-485 (GARGANTA DO REGISTRO),Pavimentada,354BMG0590
87,ITANHANDU - PASSA-QUATRO,Pavimentada,158EMG0220
88,ENTR. BR-354 (POUSO ALTO) - SÃO SEBASTIAO DO RIO VERDE,Pavimentada,350EMG0200
89,ITANHANDU - ITANHANDU,Pavimentada,158EMG0205
90,ENTR MG-350 (POUSO ALTO) - ENTR MG-158 (P/ITANHANDÚ),Pavimentada,354BMG0550
91,ENTR BR-383 (SÃO LOURENÇO) - ENTR BR-354 (P/POUSO ALTO),Pavimentada,460BMG0070
92,ENTR BR-460 (P/SÃO LOURENÇO) - ENTR MG-350 (POUSO ALTO),Pavimentada,354BMG0530
93,ENTR BR-354 (ENGENHEIRO PASSOS) - DIV RJ/SP,Duplicada,116BRJ2210
94,MACIEIRAS - INICIO DA IMPLANTACAO,Planejada,485BRJ0045
95,INICIO DA IMPLANTACAO - DIV RJ/MG,Implantada,485BRJ0050
96,DIV RJ/MG - ENTR BR-354 (GARGANTA DO REGISTRO),Implantada,485BMG0060
97,ENTR BR-485 (GARGANTA DO REGISTRO) - DIV MG/RJ,Pavimentada,354BMG0595
98,JARDIM MAROMBAS - MACIEIRAS,Leito Natural,485BRJ0040
99,BARRO BRANCO(S.PARQ.NAC) - JARDIM MAROMBAS,Implantada,485BRJ0030
100,ACESSO ANGRA,,AC100
101,ENTR RJ-155 (BARRA MANSA) - ENTR RJ-157,Duplicada,116BRJ2090
102,DIVISA RIO CLARO/BARRA MANSA - ENTR. BR-116 (BARRA MANSA),Pavimentada,155ERJ0110
103,ENTR. BR-494/RJ-155 (GETULANDIA) - ENTR. RJ-155/BR-494 (PARA BARRA MANSA),Pavimentada,139ERJ0080
104,ENTR. RJ-155/BR-494 (PARA BARRA MANSA) - DIVISA RJ/SP,Pavimentada,139ERJ0090
105,ENTR. RJ-139 (P/SAO PAULO) - DIVISA RIO CLARO/BARRA MANSA,Pavimentada,155ERJ0090
106,ENTR BR-393/494 (P/VOLTA REDONDA) - ENTR RJ-155 (BARRA MANSA),Duplicada,116BRJ2070
107,ENTR. RJ-155/BR-494 (P/RIO CLARO) - ENTR. BR-494/RJ-155 (GETULANDIA),Pavimentada,139ERJ0070
108,ENTR BR-120 (GUANHÃES) - SABINÓPOLIS,Pavimentada,259BMG0230
109,MANDINGUEIRO - ITAMARANDIBA,Implantada,214EMG0220
110,SENADOR MODESTINO GONCALVES - SENADOR MODESTINO GONCALVES (DIVISA 8/38CRG),Implantada,214EMG0265
111,ENTR MG-114 (P/CATUTIBA) - ENTR MG-308(B),Pavimentada,367BMG0245
112,,,Lig112
113,ENTR MG-220 (GUINDA) - ENTR BR-259(A),Pavimentada,367BMG0330
114,ENTR MG-010(B) (SERRO) - TRINTA RÉIS,Pavimentada,259BMG0270
115,RIO VERMELHO - MATERLANDIA,Implantada,752LMG0010
116,TRINTA RÉIS - DATAS,Pavimentada,259BMG0271
117,ENTR BR-367(A) - ENTR BR-367(B) (GOUVEIA),Pavimentada,259BMG0310
118,DATAS - ENTR BR-367(A),Pavimentada,259BMG0290
119,RIO PARDO - ENTR. P/POVOADO DE BATATAIS,Leito Natural,220EMG0220
120,ENTR. P/POVOADO DE BATATAIS - CORREGO SAO MIGUEL,Leito Natural,220EMG0240
121,CORREGO SAO MIGUEL - CONSELHEIRO MATA,Leito Natural,220EMG0260
122,DIAMANTINA - ENTR MG-220 (GUINDA),Pavimentada,367BMG0310
123,ENTR. BR-367 (P/DIAMANTINA) - RIO PARDO,Leito Natural,220EMG0200
124,ENTR. RJ-236 (TOCOS) - VALA DO MATO,Pavimentada,208ERJ0105
125,ENTR. RJ-216 (P/FAROL DE SAO TOME) - ENTR. RJ-216 (P/C. DOS GOYTACAZES),Pavimentada,196ERJ0140
126,ENTR. RJ-216 (P/C. DOS GOYTACAZES) - SAO SEBASTIAO (CD),Pavimentada,196ERJ0150
127,ENTR. RJ-236 (GOITACAZES) - ENTR. RJ-196 (C. LIMPO),Pavimentada,216ERJ0030
128,ENTR. BR-101 (TRAVESSAO) - DIVISA CAMPOS/SAO FRANCISCO DO ITABAPOANA,Pavimentada,224ERJ0010
129,ENTR. BR-356 (SAO JOAO DA BARRA) - ATAFONA,Pavimentada,356MRJ0460
130,ENTR RJ-196 (SÃO DOMINGOS) - SÃO JOÃO DA BARRA,Pavimentada,356BRJ0450
131,DIVISA SAO JOAO DA BARRA/SAO FRANCISCO DO ITABAPOANA - ENTR. RJ-194,Planejada,196ERJ0200
132,GARGAU (CD) - SANTA CLARA (CD),Pavimentada,196ERJ0220
133,ENTR ES-289 (P/ATÍLIO VIVACQUA) - ENTR ES-391 (P/MIMOSO DO SUL),Pavimentada,101BES2590
134,ENTR. P/ ACESSO A NEVES - ENTR. ES-297 (DIVISA ES/RJ),Leito Natural,162EES0050
135,ENTR. BR-101 - ENTR. ES-162 (P/NEVES),Leito Natural,297EES0070
136,ENTR. ES-177 (MIMOSO DO SUL) - ENTR. BR-101,Pavimentada,391EES0030
137,ENTR ES-391 (P/MIMOSO DO SUL) - ENTR ES-297,Pavimentada,101BES2610
138,ENTR ES-297 - DIV ES/RJ,Pavimentada,101BES2630
139,VALAO SECO (CD) - ENTR. RJ-204 (PARA PRACA JOAO PESSOA),Pavimentada,224ERJ0050
140,BOM LUGAR (CD) - TRAVESSAO DA BARRA (CD),Pavimentada,224ERJ0065
141,ENTR. RJ-232 (GUAXINDIBA) - BUENA (CD),Pavimentada,196ERJ0240
142,BUENA (CD) - ENTR. RJ-224 (BARRA DO ITABAPOANA),Leito Natural,196ERJ0250
143,ENTR. RJ-224 (SAO FRANCISCO-CD) - ENTR. RJ-196,Pavimentada,232ERJ0010
144,ENTR. RJ-232 (S. FRANCISCO DO ITABAPOANA-CD) - MANIVA (CD),Pavimentada,224ERJ0040
145,MANIVA (CD) - VALAO SECO (CD),Pavimentada,224ERJ0045
146,ENTR. RJ-204 (PARA PRACA JOAO PESSOA) - BOM LUGAR (CD),Pavimentada,224ERJ0060
147,PRACA JOAO PESSOA (CD) - ENTR. RJ-224 (IMBURI DA BARRA),Pavimentada,204ERJ0230
148,LIGAÇÃO ES-162 A RJ-224 - TRAVESSÃO DA BARRA,Leito Natural,224MRJES162
149,TRAVESSAO DA BARRA (CD) - ENTR RJ-196 (BARRA DE ITABAPOANA-CD),Pavimentada,224ERJ0070
150,PRESIDENTE KENNEDY - ENTR. P/ ACESSO A NEVES,Leito Natural,162EES0030
151,ENTR. ES-162 (P/NEVES) - ENTR. ES-060 (DIVISA ES/RJ),Leito Natural,297EES0090
152,ENTR. BR101 - PRESIDENTE KENNEDY,Pavimentada,162EES0010
153,ENTR ES-162 (P/PRESIDENTE KENNEDY) - ENTR ES-289 (P/ATÍLIO VIVACQUA),Pavimentada,101BES2570
154,INÍCIO PISTA DUPLA - ENTR BR-135(B)/262(A)/381(A) (ANEL RODOVIÁRIO DE BELO HORIZONTE),Duplicada,040BMG0360
155,ENTR MG-432 (P/ESMERALDAS) - INÍCIO PISTA DUPLA,Duplicada,040BMG0350
156,ENTR MG-238 (P/SETE LAGOAS) - ENTR MG-432 (P/ESMERALDAS),Duplicada,040BMG0330
157,ENTR MG-231 (PARAOPEBA) - ENTR MG-424 (P/SETE LAGOAS),Em obras de duplicação,040BMG0270
158,ACESSO SUL PARAOPEBA - ENTR MG-231 (PARAOPEBA),Em obras de duplicação,040BMG0266
159,INÍCIO PISTA DUPLA - ACESSO SUL PARAOPEBA,Duplicada,040BMG0262
160,ENTR BR-135(A) - INÍCIO PISTA DUPLA,Em obras de duplicação,040BMG0250
161,ENTR BR-393(A) - VOLTA REDONDA,Pavimentada,494BRJ0290
162,VOLTA REDONDA - ENTR BR-116/393(B),Pavimentada,494BRJ0310
163,ENTR BR-101(A) - ENTR BR-101(B) (P/ANGRA DOS REIS),Pavimentada,494BRJ0430
164,ENTR AL-480 (P/JUNDIÁ) - ENTR BR-416(B) (NOVO LINO),Pavimentada,101BAL0615
165,ENTR BR-416(B) (NOVO LINO) - ENTR AL-205 (P/JOAQUIM GOMES),Pavimentada,101BAL0620
166,ENTR AL-407 - ENTR BR-424(B),Pavimentada,316BAL1130
167,ENTR RODOVIA SECUNDARIA - ENTR AL-407,Pavimentada,316BAL1110
168,DIV PE/AL - ENTR BR-416(A)/AL-110,Pavimentada,104BAL0570
169,ENTR BR-416(A)/AL-110 - ENTR BR-416(B) (SÃO JOSÉ DA LAGE),Pavimentada,104BAL0580
170,ENTR BR-104(A)/AL-110(B) - ENTR BR-104(B) (SÃO JOSÉ DA LAGE),Pavimentada,416BAL0060
171,IBATEGUARA - ENTR BR-104(A)/AL-110(B),Pavimentada,416BAL0050
172,ENTR RJ-230(B) - ENTR BR-356(A)/393(B),Pavimentada,484BRJ0180
173,ENTR BR-040/116(B) - ENTR BR-116,Planejada,493BRJ0110
174,ENTR BR-116 - ENTR BR-465,Planejada,493BRJ0150
175,ENTR BR-465 - ENTR BR-101,Planejada,493BRJ0151
176,ENTR BR-116 (TEOFILÂNDIA) - BARROCAS,Implantada,349BBA0230
177,ENTR BR-101 - PORTO DE ITAGUAÍ,Pavimentada,493BRJ0152
178,EXPEDICIONÁRIO ALÍCIO - ENTR MG-108(A) (P/MUTUM),Em obras de pavimentação,474BMG0015
179,ENTR PB-177 (SOLEDADE) - ENTR PB-195 (JUAZEIRINHO),Pavimentada,230BPB0270
180,ENTR PB-195 (JUAZEIRINHO) - ENTR PB-228 (P/ASSUNÇÃO),Pavimentada,230BPB0280
181,ENTR PB-228 (P/ASSUNÇÃO) - JUNCO DO SERIDÓ,Pavimentada,230BPB0290
182,JUNCO DO SERIDÓ - ENTR PB-221 (P/SANTA LUZIA),Pavimentada,230BPB0295
183,ENTR PB-299 (MALTA) - CONDADO,Pavimentada,230BPB0360
184,CONDADO - ENTR BR-426 (SÃO BENTINHO),Pavimentada,230BPB0365
185,ENTR PB-306 (P/SANTANA DE MANGABEIRA) - ENTR PB-372 (IBIARA),Pavimentada,361BPB0080
186,BOA VENTURA - ENTR PB-370 (P/CURRAL VELHO),Pavimentada,361BPB0055
187,VERA MENDES - ENTR PI-379 (ITAINÓPOLIS),Implantada,020BPI0445
188,ENTR PI-462 - VERA MENDES,Implantada,020BPI0440
189,ENTR BR-135(A)/PI-218 - (INÍCIO DE PISTA DUPLA) (JERUMENHA),Pavimentada,343BPI0325
190,(INÍCIO DE PISTA DUPLA) (JERUMENHA) - FIM PISTA DUPLA,Duplicada,343BPI0330
191,ENTR BR-343(A)/PI-250(A) - INÍCIO PISTA DUPLA (JERUMENHA),Pavimentada,135BPI0380
192,INÍCIO PISTA DUPLA (JERUMENHA) - FIM PISTA DUPLA,Duplicada,135BPI0390
193,ENTR BR-101(A) - ENTR BR-101(B) (SANTA CRUZ),Duplicada,465BRJ0090
194,ENTR BR-101(A) (PARATI) - ENTR BR-101(B) (MAMBUCABA),Pavimentada,459BRJ0310
195,MONTE ALEGRE DO PIAUÍ - ENTR BR-235(B)/PI-254,Pavimentada,135BPI0475
196,ENTR BR-135(B) - ACESSO BOQUEIRÃO,Implantada,235BPI0417
197,MATAS - ENTR PI-254(B) (SANTA FILOMENA),Leito Natural,235BPI0420
198,ENTR BR-235(B)/PI-254 - ENTR PI-254 (GILBUÉS),Pavimentada,135BPI0480
199,ENTR BR-343(A) - ENTR BR-343(B),Pavimentada,230BPI0895
200,UMBUZEIRO - ENTR BA-084,Planejada,349BBA0200
201,ENTR BR-230(B) - ENTR BR-140(A)/PI-250(A) (INÍCIO PISTA DUPLA) (FLORIANO),Pavimentada,343BPI0313
202,ENTR BR-140(A)/PI-250(A) (INÍCIO PISTA DUPLA) (FLORIANO) - ENTR PI-140(B),Duplicada,343BPI0314
203,ENTR PI-140(B) - FIM DE PISTA DUPLA,Duplicada,343BPI0316
204,LIGAÇÃO MUNICIPAL BARRA DA ESTIVA,,Lig204
205,ENTR DF-125(A) - ENTR DF-125(B),Pavimentada,251BDF0515
206,ENTR. ACESSO 4º DISTRITO RODOVIÁRIO - ENTR. DF-270,Pavimentada,130DDF0310
207,ENTR. VC - 401 ENTR. ACESSO 4º DISTRITO RODOVIÁRIO,Pavimentada,130DDF0290
208,ENTR. DF - 260 ENTR. VC - 401,Pavimentada,130DDF0270
209,ENTR. DF - 445 ENTR. VC - 185,Pavimentada,130DDF0190
210,ENTR GO-462 - ENTR GO-070 (ANEL VIÁRIO DE GOIÂNIA),Planejada,060BGO9110
211,ENTR GO-060 - ENTR BR-060 (ANEL VIÁRIO DE GOIÂNIA),Planejada,060BGO9020
212,ENTR GO-070 - ENTR GO-060 (ANEL VIÁRIO DE GOIÂNIA),Planejada,060BGO9010
213,ESPERA FELIZ - ENTR MG-111(A),Pavimentada,482BMG0160
214,ENTR. P/ IGREJINHA - ENTR. P/ SANTO ANTÔNIO DO MUCURI,Pavimentada,217EMG0300
215,ENTR. P/ RIO CLARO - MANHUMIRIM,Pavimentada,108EMG0540
216,SÃO JOÃO DO JACUTINGA - PIEDADE DE CARATINGA,Pavimentada,474BMG0047
217,NOVO CRUZEIRO - CORREGO PALMEIRAS,Implantada,211EMG0220
218,QUEIXADA - CORREGO SANTA RITA,Implantada,678LMG0120
219,INICIO DO PAVIMENTO - ACESSO A ARMACAO DOS BUZIOS (MANGUINHOS),Pavimentada,102ERJ0380
220,ACESSO A ARMACAO DOS BUZIOS (MANGUINHOS) - KM 155.0 (PRAIA SECA),Pavimentada,102ERJ0390
221,ENTR. RJ-162 (PARA RIO DOURADO) - DIVISA RIO DAS OSTRAS/MACAE,Pavimentada,106ERJ0370
222,ENTR. VC - 185 ENTR. DF- 355,Pavimentada,130DDF0210
223,ENTR. DF - 355 ENTR. DF - 260,Pavimentada,130DDF0250
224,DIV GO/BA - ENTR BR-349(B),Pavimentada,020BBA0220
225,TRIUNFO (CD) - ENTR. RJ-174 (CAMBOTA),Pavimentada,182ERJ0170
226,ENTR. RJ-182 (PARA SANTA MARIA MADALENA-CD) - DIVISA SANTA MARIA MADALENA/SAO FIDELIS,Leito Natural,146ERJ0150
227,ENTR. RJ-116 (ITAOCARA-CD) - ACESSO A PONTE DA BOIA (PARA RJ-194),Pavimentada,158ERJ0190
228,ENTR. BR-356 - DIVISA ITAPERUNA/NATIVIDADE,Pavimentada,220ERJ0010
229,ENTR. GO-440 - DIV. GO/MG,Leito Natural,508EGO0030
230,ENTR GO-020(B) - ENTR GO-213(A) (CAMPO ALEGRE DE GOIÁS),Pavimentada,050BGO0110
231,ENTR. RJ-226 (P/PURILANDIA) - ENTR. RJ-198 (P/VARRE-SAI),Pavimentada,214ERJ0170
232,ENTR. RJ-198 (SANTA CLARA) - ENTR. RJ-226 (PURILANDIA-CD),Leito Natural,230ERJ0230
233,ENTR. BR-101 - ENTR. RJ.162 (ATALAIA),Pavimentada,168ERJ0030
234,ENTR. RJ-182 (ALTO DO IMBE) - ENTR. RJ-190,Leito Natural,180ERJ0010
235,DIVISA SANTA MARIA MADALENA/SAO FIDELIS - ENTR. RJT-192/BR-492 (CAMBIASCA),Leito Natural,146ERJ0170
236,TRES IRMAOS (CD) - PONTE DA BOIA (ACESSO A RJ-158),Leito Natural,194ERJ0060
237,ENTR. RJ-200 - ENTR. RJ-198 (MONTE VERDE),Leito Natural,202ERJ0040
238,DIVISA LAJE DO MURIAE/ITAPERUNA - ENTR. RJ-198 (ITAPERUNA),Leito Natural,210ERJ0030
239,ENTR. RJ-212 ( PARA AVAI ) - ENTR. RJ-214 (NATIVIDADE-CD),Pavimentada,220ERJ0050
240,KM 6.6 (INICIO DO PAVIMENTO) - ENTR. RJ-214 (PARA NATIVIDADE),Pavimentada,226ERJ0020
241,ENTR BR-146(B) - ACESSO MONTE BELO,Pavimentada,491BMG0090
242,ENTR MG-446 (P/MUZAMBINHO) - ENTR BR-146(B),Pavimentada,491BMG0085
243,ACESSO MUZAMBINHO,,AC243
244,ACESSO MONTE BELO - ENTR MG-184 (P/AREADO),Pavimentada,491BMG0100
245,ENTR. P/ AREADO - ENTR. BR-491,Pavimentada,184EMG0280
246,ACESSO A CONCEIÇÃO DA APARECIDA - ENTR. MG-184,Pavimentada,900AMG2435
247,ENTR MG-226 (CAPINÓPOLIS) - ENTR BR-365(A),Pavimentada,154BMG0070
248,ENTR. DF-425 - ENTR. DF-420,Pavimentada,150DDF0030
249,ENTR. BR-010/020/030 - ENTR. DF-425,Pavimentada,150DDF0010
250,ENTR. DF-150 - ENTR. VC-215,Duplicada,420DDF0010
251,ENTR. VC-215 - SOBRADINHO,Duplicada,420DDF0030
252,ENTR. PONTE PRESIDENTE MEDICE - ENTR. PONTE COSTA E SILVA,Duplicada,025DDF0050
253,ENTR. DF-047 - ENTR. PONTE PRESIDENTE MEDICE,Duplicada,025DDF0030
254,DIVISA DUQUE DE CAXIAS/SAO JOAO DE MERITI - ENTR. BR-116,Duplicada,081ERJ0030
255,ENTR RJ-083 - ENTR RJ-085 (SÃO JOÃO DO MERITI),Duplicada,116BRJ1800
256,KM 23.90 - DIVISA BELFORD ROXO/NOVA IGUACU,Implantada,085ERJ0120
257,DIVISA BELFORD ROXO/NOVA IGUACU - DIVISA NOVA IGUACU/DUQUE DE CAXIAS (ENTR. RJ-109),Implantada,085ERJ0130
258,ENTR. RJ-101 (LOTE 15 PARA DUQE DE CAXIAS-CD) - ENTR. RJ-085 (P/ SAO JOAO DE MERITI-CD),Pavimentada,105ERJ0050
259,ENTR. RJ-105 - DIVISA BELFORD ROXO/DUQUE DE CAXIAS,Pavimentada,101ERJ0070
260,DIVISA DUQUE DE CAXIAS/BELFORD ROXO - ENTR. RJ-105,Pavimentada,101ERJ0050
261,DIVISA RIO DE JANEIRO/DUQUE DE CAXIAS (ENTR. RJ-081) - ENTR. RJ-103,Pavimentada,101ERJ0010
262,ENTR. BR-040/116 (PILAR) - ENTR. RJ-101,Pavimentada,105ERJ0010
263,ENTR. BR-040 - ENTR. RJ-085 (MANTIQUIRA),Pavimentada,115ERJ0010
264,FNM (ENTR PISTA INVERSA) - ENTR BR-116(A)/493/RJ-109,Duplicada,040BRJ0930
265,BELVEDERE (ENTR PISTA INVERSA) - FNM (ENTR PISTA INVERSA),Duplicada,040BRJ0910
266,VIADUTO RUFINO PIZARRO - PERIMETRAL RIO DE JANEIRO,,via266
267,ENTR. RJ-100 (CURVA DA MORTE PIRATININGA) - KM 5.1 (ACESSO P/ITAIPU),Pavimentada,102ERJ0010
268,KM 5.1 (ACESSO P/ITAIPU) - ENTR. RJ-108 (TREVO DO ENGENHO DO MATO),Leito Natural,102ERJ0030
269,ACESSO PTE PRES COSTA E SILVA (NITERÓI) - ENTR BR-040(A) (ACESSO PTE PRES COSTA E SILVA (RIO)),Duplicada,101BRJ3110
270,AUTOESTRADA LAGOA BARRA (JARDIM BOTÂNICO / LAGOA),Duplicada,071MRJ0050
271,AUTO ESTRADA LAGOA BARRA (TRECHO LAGOA-GÁVEA)),Duplicada,071MRJ0070
272,AUTO ESTRADA LAGOA BARRA (TUNEL ZUZU ANGEL),Duplicada,071MRJ0090
273,VIADUTO BENTO RIBEIRO DANTAS -  LIGA LINHAS AMARELA E VERMELHA,,via273
274,ENTR. BR-040/101 (AV. BRASIL) - ENTR. PTE. OSWALDO CRUZ (ANTIGA RJ-087 L AMARELA),Duplicada,071ERJ0020
275,GASÔMETRO (RODOVIÁRIA) - PRAÇA MAUÁ,Duplicada,040BRJ1090
