OBJECTID,DescSeg,TipoPNV,CODIGO
5337,ENTR. GO-418 - BACILANDIA,Leito Natural,326EGO0150
5338,ENTR. GO-164 (SANCLERLÂNDIA) - BURITI DE GOIÁS,Pavimentada,326EGO0070
5339,ENTR. GO-060(B) (S?O LUIZ DE MONTES BELOS) - ENTR. GO-324,Pavimentada,164EGO0430
5340,PENA FORTE - DIV CE/PE,Pavimentada,116BCE0416
5341,ENTR CE-390 (JATI) - PENA FORTE,Pavimentada,116BCE0414
5342,ENTR CE-397(B) (P/PORTEIRAS) - ENTR CE-390 (JATI),Pavimentada,116BCE0412
5343,ENTR CE-397(A) (BREJO SANTO) - ENTR CE-397(B) (P/PORTEIRAS),Pavimentada,116BCE0410
5344,ENTR CE-293 - ENTR CE-397(A) (BREJO SANTO),Pavimentada,116BCE0395
5345,ENTR CE-393 (MILAGRES) - ENTR CE-293,Pavimentada,116BCE0390
5346,ENTR CE-384 (P/MAURITI) - ENTR CE-393 (MILAGRES),Pavimentada,116BCE0375
5347,ENTR CE-152/290 (BARRO) - ENTR CE-384 (P/MAURITI),Pavimentada,116BCE0372
5348,ENTR CE-288 (P/AURORA) - ENTR CE-152/290 (BARRO),Pavimentada,116BCE0370
5349,DIV PB/CE - ENTR CE-288 (P/AURORA),Pavimentada,116BCE0350
5350,ENTR BR-230(B) (FELIZARDO) - DIV CE/PB,Pavimentada,116BCE0310
5351,ENTR CE-286 (P/IPAUMIRIM) - ENTR BR-230(B) (FELIZARDO),Pavimentada,116BCE0295
5352,ENTR CE-265(B) (P/LIMOEIRO DO NORTE) - ENTR CE-266(A)/377 (PEIXE GORDO),Pavimentada,116BCE0190
5353,ENTR CE-265(A) (P/MORADA NOVA) - ENTR CE-265(B) (P/LIMOEIRO DO NORTE),Pavimentada,116BCE0175
5354,RUSSAS - ENTR CE-265(A) (P/MORADA NOVA),Pavimentada,116BCE0170
5355,ENTR CE-263 (P/JAGUARUANA) - RUSSAS,Pavimentada,116BCE0155
5356,ENTR. BR-226/343 - ENTR. PI-368 (POV. SANTA TERESA),Pavimentada,113EPI0010
5357,ENTR. PI-112 (POV. MARAMBAIA) - ENTR. PI-363 (POV. PALMEIRA),Implantada,115EPI0010
5358,ENTR. BR-226/343 (TERESINA) - ENTR. PI-363,Pavimentada,112EPI0010
5359,ACESSO TERESINA,,AC5359
5360,ENTR. BR-343/PI-114/115 (CAMPO MAIOR) - ENTR. PI-352 (COIVARAS),Implantada,215EPI0010
5361,ENTR. BR-226/343/PI-367 (ALTOS) - ENTR. PI-223 (ESTACA ZERO),Pavimentada,221EPI0010
5362,ENTR. PI-111 (A) - ENTR. PI-111 (B) (POV. BURITI ALEGRE),Implantada,365EPI0030
5363,ENTR. PI-341 (POV. TOCAIA) - ENTR. PI-111/113 (CABECEIRAS DO PIAUÍ),Pavimentada,114EPI0030
5364,ENTR. PI-341 (POV. OLINDA) - ENTR. PI-114 (CABECEIRAS DO PIAUI),Pavimentada,111EPI0080
5365,ENTR. PI-364 - ENTR. PI-110 (A)/113 (B)/212 (BARRAS),Pavimentada,111EPI0100
5366,ENTR. PI-111 (A)/113/212 (BARRAS) - ENTR. PI-111 (B),Pavimentada,110EPI0060
5367,ENTR PI-213/214 (ESPERANTINA) - SÃO JOÃO DO ARRAIAL,Leito Natural,222BPI0310
5368,ENTR BR-230 (SÃO BENTINHO) - CAJAZEIRINHAS,Pavimentada,426BPB0010
5369,ENTR PE-290/312/360 (IBIMIRIM) - ENTR BR-316(A)/PE-355 (HOTEL DO PEBA),Implantada,110BPE0430
5370,ENTR. BR - 110 ( IBIMIRIM ) - ENTR. PE - 340 ( AIRI ),Pavimentada,360EPE0010
5371,ENTR. PE-290 (MOXOTO) - ENTR. PE-300,Leito Natural,345EPE0010
5372,ENTR. PE-270 (ITAÍBA) - ENTR. PE-345 (P/MOXOTÓ),Leito Natural,300EPE0030
5373,ENTR. PB-368 (AGUIAR) - ENTR. PB-384,Implantada,366EPB0050
5374,SÃO JOSE DA LAGOA TAPADA - ENTR. PB-384 (SÃO GONCALO),Implantada,348EPB0050
5375,MONTE HOREBE - BONITO DE SANTA FE,Pavimentada,400EPB0050
5376,ENTR. PB-366 (SÃO JOSE DE PIRANHAS) - MONTE HOREBE,Pavimentada,400EPB0030
5377,ENTR. BR-230 (CAJAZEIRAS) - ENTR. PB-366 (SÃO JOSE DE PIRANHAS),Pavimentada,400EPB0010
5378,ENTR. PB-366 - CARRAPATEIRA,Implantada,384EPB0010
5379,ENTR. PB-400 - DIV. PB/CE,Leito Natural,388EPB0030
5380,ENTR. BR-230 - BOM JESUS,Pavimentada,417EPB0010
5381,ENTR. BR-230 - CACHOEIRA DOS INDIOS,Pavimentada,420EPB0010
5382,CACHOEIRA DOS INDIOS - ENTR. BR-116,Pavimentada,420EPB0030
5383,ENTR. PB-366 - SERRA GRANDE,Leito Natural,382EPB0010
5384,ENTR. PB-384 - ENTR. PB-382,Implantada,366EPB0070
